date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-07-01,15.66,16.89,15.66,16.66,20468705.0,353900439.0,1673700000.0,0.01222961402879847
2024-07-02,16.66,16.99,16.13,16.48,15938890.0,276547053.0,1673700000.0,0.00952314632251897
2024-07-03,16.38,16.49,15.97,16.04,10493201.0,178840222.0,1673700000.0,0.006269463464181156
2024-07-04,16.01,16.42,15.83,15.9,9540914.0,161741105.0,1673700000.0,0.005700492322399474
2024-07-05,15.98,16.06,15.7,16.02,10124989.0,169786761.0,1673700000.0,0.006049464659138436
2024-07-08,16.1,16.14,15.71,15.9,10267693.0,172122084.0,1673700000.0,0.006134727251000777
2024-07-09,15.74,15.88,15.36,15.68,17132611.0,281515627.0,1673700000.0,0.010236369122303877
2024-07-10,15.46,15.62,14.9,15.22,19629391.0,315250543.0,1673700000.0,0.011728141841429169
2024-07-11,15.22,15.44,14.93,15.3,14980913.0,240104089.0,1673700000.0,0.0089507755272749
2024-07-12,15.2,15.51,14.58,14.78,15587446.0,244919378.0,1673700000.0,0.009313166039314095
2024-07-15,14.77,15.42,14.58,15.16,15712630.0,251277421.0,1673700000.0,0.009387960805401207
2024-07-16,15.16,15.28,14.89,15.2,10206012.0,163012442.0,1673700000.0,0.006097874170998387
2024-07-17,15.15,15.23,14.65,14.8,11298259.0,176899832.0,1673700000.0,0.0067504684232538685
2024-07-18,14.59,14.81,14.4,14.73,10190425.0,157270642.0,1673700000.0,0.006088561271434546
2024-07-19,14.7,14.79,14.42,14.62,8607752.0,132431439.0,1673700000.0,0.005142947959610444
2024-07-22,14.67,14.7,14.14,14.6,10952491.0,166959894.0,1673700000.0,0.00654387942881042
2024-07-23,14.57,14.67,14.02,14.03,8092269.0,121850635.0,1673700000.0,0.0048349578777558706
2024-07-24,14.03,14.17,13.87,13.99,8018383.0,118527331.0,1673700000.0,0.004790812570950588
2024-07-25,13.88,13.98,13.56,13.71,9830000.0,142198531.0,1673700000.0,0.005873215032562586
2024-07-26,13.71,14.2,13.61,14.01,9640000.0,142294409.0,1673700000.0,0.005759694090936249
2024-07-29,14.29,14.3,13.44,13.78,10186655.0,147866871.0,1673700000.0,0.006086308776961224
2024-07-30,13.74,13.77,13.47,13.53,6304095.0,90412255.0,1673700000.0,0.0037665621079046425
2024-07-31,13.59,14.25,13.49,14.21,12404700.0,183793399.0,1673700000.0,0.007411543287327478
2024-08-01,14.31,14.74,14.14,14.2,12903000.0,195343363.0,1673700000.0,0.00770926689370855
2024-08-02,14.02,14.14,13.83,14.0,7073362.0,104502488.0,1673700000.0,0.004226182708968154
2024-08-05,13.79,14.0,13.47,13.55,15404601.0,221609027.0,1673700000.0,0.009203920057357949
2024-08-06,13.68,14.22,13.65,14.08,12534348.0,185035149.0,1673700000.0,0.007489005198064169
2024-08-07,14.03,14.48,13.86,14.26,10053219.0,151377239.0,1673700000.0,0.006006583617135687
2024-08-08,14.15,14.27,13.81,13.95,6168700.0,91101416.0,1673700000.0,0.0036856664874230748
2024-08-09,14.0,14.18,13.86,14.07,6666500.0,98758030.0,1673700000.0,0.003983091354484077
2024-08-12,13.98,14.32,13.82,14.14,6804575.0,101485438.0,1673700000.0,0.004065588217721216
2024-08-13,14.31,14.4,14.06,14.21,6586120.0,98655454.0,1673700000.0,0.0039350660213897356
2024-08-14,14.18,14.18,13.91,14.0,4298400.0,63639653.0,1673700000.0,0.0025682021867718227
2024-08-15,14.02,14.62,13.94,14.3,10795300.0,163573041.0,1673700000.0,0.006449961163888391
