date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-07-01,4.68,5.04,4.68,4.99,27938515.0,141354609.0,1902996142.9999998,0.014681330334151919
2024-07-02,4.99,5.05,4.92,5.03,20029847.0,102912210.0,1902996142.9999998,0.010525427008182856
2024-07-03,4.96,5.06,4.95,5.03,15501186.0,79797465.0,1902996142.9999998,0.008145673892729483
2024-07-04,5.04,5.18,4.99,5.07,22159700.0,116139558.0,1902996142.9999998,0.011644637369083728
2024-07-05,5.05,5.1,4.94,5.0,11712014.0,60326498.0,1902996142.9999998,0.006154512736708159
2024-07-08,4.96,5.08,4.95,5.05,14033501.0,72650294.0,1902996142.9999998,0.00737442430013375
2024-07-09,5.01,5.15,5.01,5.13,14092431.0,73857556.0,1902996142.9999998,0.007405391257274871
2024-07-10,5.13,5.15,5.01,5.02,14151300.0,73218068.0,1902996142.9999998,0.0074363261597004725
2024-07-11,5.05,5.13,5.02,5.12,10105128.0,52307071.0,1902996142.9999998,0.005310114808782354
2024-07-12,5.11,5.16,5.04,5.05,7971248.0,41354699.0,1902996142.9999998,0.0041887883111700035
2024-07-15,5.05,5.06,4.98,5.03,6122300.0,31349324.0,1902996142.9999998,0.0032171899152398866
2024-07-16,5.04,5.07,4.97,5.06,8701259.0,44491943.0,1902996142.9999998,0.004572399703492201
2024-07-17,5.02,5.05,4.92,4.94,8529600.0,43208364.0,1902996142.9999998,0.004482195106582516
2024-07-18,4.92,5.01,4.88,4.98,6746810.0,34075653.0,1902996142.9999998,0.0035453618888390995
2024-07-19,4.95,5.09,4.92,5.07,10110532.0,51956382.0,1902996142.9999998,0.005312954541285164
2024-07-22,5.04,5.14,4.93,5.13,13111800.0,67457050.0,1902996142.9999998,0.006890082278007014
2024-07-23,5.14,5.31,5.09,5.09,15065800.0,79922473.0,1902996142.9999998,0.0079168841489344
2024-07-24,5.1,5.27,5.1,5.23,20039195.0,106311588.0,1902996142.9999998,0.010530339261964549
2024-07-25,5.17,5.39,5.16,5.31,25528911.0,137480363.0,1902996142.9999998,0.013415114420439475
2024-07-26,5.3,5.39,5.25,5.38,16739400.0,90939020.0,1902996142.9999998,0.008796339425896568
2024-07-29,5.39,5.44,5.34,5.41,10211903.0,56137831.0,1902996142.9999998,0.0053662236981212846
2024-07-30,5.37,5.41,5.16,5.18,15695233.0,83877543.0,1902996142.9999998,0.00824764309572224
2024-07-31,5.18,5.23,5.13,5.2,12943001.0,68377793.0,1902996142.9999998,0.006801380574316803
2024-08-01,5.16,5.36,5.16,5.24,14699155.0,79201257.0,1902996142.9999998,0.0077242169166078034
2024-08-02,5.2,5.24,5.17,5.19,7184601.0,38090892.0,1902996142.9999998,0.003775415429205103
2024-08-05,5.2,5.24,5.05,5.06,9666290.0,50520512.0,1902996142.9999998,0.0050795110833811085
2024-08-06,5.08,5.16,5.05,5.09,6283200.0,32689534.0,1902996142.9999998,0.0033017407960137944
2024-08-07,5.07,5.3,5.07,5.26,12464500.0,66360600.0,1902996142.9999998,0.0065499344524945794
2024-08-08,5.25,5.34,5.17,5.33,10014400.0,53898690.0,1902996142.9999998,0.005262438411573807
2024-08-09,5.3,5.42,5.28,5.33,8308615.0,45366251.0,1902996142.9999998,0.00436607033102116
2024-08-12,5.35,5.42,5.29,5.33,5537001.0,30137199.0,1902996142.9999998,0.0029096228178745187
2024-08-13,5.29,5.34,5.25,5.3,5182001.0,27916136.0,1902996142.9999998,0.002723074883289451
2024-08-14,5.3,5.39,5.26,5.33,6300300.0,34313862.0,1902996142.9999998,0.0033107266261022585
