date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-01-13,25.12,25.28,24.6,25.14,518100.0,13075703.0,53516380.0,0.009681148089612937
2025-01-14,25.14,25.89,25.14,25.89,1057193.0,27300663.0,53516380.0,0.01975456860123947
2025-01-15,26.01,26.05,25.61,25.79,738400.0,19231762.0,53516380.0,0.013797644758483291
2025-01-16,25.79,26.31,25.72,25.9,649000.0,17042260.0,53516380.0,0.01212712818019455
2025-01-17,25.85,26.2,25.77,26.17,547800.0,14378556.0,53516380.0,0.010236118362265909
2025-01-20,26.36,26.85,26.07,26.69,824900.0,22181580.0,53516380.0,0.01541397232025036
2025-01-21,27.02,27.02,26.36,26.55,528900.0,14155648.0,53516380.0,0.009882955461486745
2025-01-22,26.32,26.47,26.04,26.44,512000.0,13602130.0,53516380.0,0.009567164296239768
2025-01-23,26.67,26.95,26.42,26.45,615400.0,16561831.0,53516380.0,0.011499283023253815
2025-01-24,26.41,26.69,26.37,26.64,446597.0,11976635.0,53516380.0,0.008345052486733968
2025-01-27,26.65,27.08,26.65,26.79,574200.0,15590046.0,53516380.0,0.010729425271290772
2025-02-05,26.82,26.93,26.38,26.48,559800.0,15009715.0,53516380.0,0.010460348775459028
2025-02-06,26.53,29.13,26.39,29.13,4202436.0,121702483.0,53516380.0,0.07852616339147005
2025-02-07,32.04,32.04,30.61,32.04,13289690.0,427080334.0,53516380.0,0.24832938999237242
2025-02-10,30.45,35.19,29.75,33.09,15731310.0,496775587.0,53516380.0,0.29395317844742114
2025-02-11,32.77,33.47,31.2,31.51,9822172.0,318033107.0,53516380.0,0.18353580716782414
2025-02-12,31.09,32.34,30.65,31.91,6735300.0,214947776.0,53516380.0,0.12585492516496818
2025-02-13,31.86,32.7,31.38,31.6,6515480.0,210369762.0,53516380.0,0.12174739771262555
2025-02-14,31.54,33.02,31.11,33.02,7739824.0,252169429.0,53516380.0,0.1446253277968353
2025-02-17,33.88,35.31,33.04,33.48,8626938.0,298109077.0,53516380.0,0.16120182269428537
2025-02-18,32.69,34.68,32.49,33.27,6051087.0,205403955.0,53516380.0,0.11306981152312619
2025-02-19,32.89,36.04,32.89,34.36,8100807.0,284542698.0,53516380.0,0.15137060840064295
2025-02-20,34.13,36.79,33.8,36.1,7033965.0,251500905.0,53516380.0,0.13143573986132845
2025-02-21,35.47,36.44,35.16,35.56,5594400.0,201200857.0,53516380.0,0.10453621863063234
2025-02-24,35.5,37.04,34.69,36.51,5401893.0,195298106.0,53516380.0,0.10093905828458502
2025-02-25,35.82,40.17,35.37,38.7,7299022.0,278487840.0,53516380.0,0.13638855991380583
2025-02-26,38.72,39.81,37.95,39.15,5410181.0,211968846.0,53516380.0,0.1010939267566304
2025-02-27,39.35,40.4,37.17,38.31,6057006.0,234290874.0,53516380.0,0.1131804131744337
2025-02-28,37.53,37.96,34.96,35.04,5022600.0,182498649.0,53516380.0,0.09385163944198019
2025-03-03,35.21,36.22,34.42,35.75,4690196.0,168002575.0,53516380.0,0.08764038225305971
2025-03-04,35.09,36.04,35.09,35.78,2253193.0,81123201.0,53516380.0,0.042102866449487054
2025-03-05,35.67,35.89,34.97,35.41,2003086.0,71501291.0,53516380.0,0.037429400120112755
2025-03-06,35.41,36.46,35.18,35.97,3005113.0,109182395.0,53516380.0,0.05615314414016793
2025-03-07,35.85,36.03,35.08,35.37,2179900.0,78177312.0,53516380.0,0.04073332314330678
2025-03-10,35.2,35.92,35.02,35.62,1926700.0,68861910.0,53516380.0,0.03600206142493195
2025-03-11,35.2,37.95,34.81,37.4,4447546.0,164344713.0,53516380.0,0.08310625643961718
2025-03-12,38.34,41.15,38.34,39.83,6106118.0,249788676.0,53516380.0,0.11409811351216208
2025-03-13,39.85,41.12,37.01,37.66,6389855.0,246151264.0,53516380.0,0.11939998557451008
2025-03-14,37.79,39.31,36.68,37.97,3932227.0,150055749.0,53516380.0,0.07347707374826175
2025-03-17,38.02,38.5,36.66,37.55,2928600.0,110751732.0,53516380.0,0.05472343233978083
2025-03-18,37.92,38.29,37.25,37.56,2197465.0,83459056.0,53516380.0,0.04106154041061821
2025-03-19,35.97,36.36,35.27,35.86,4159530.0,150334411.0,53516380.0,0.07772442754909806
2025-03-20,35.49,38.54,35.47,37.31,5402030.0,203992854.0,53516380.0,0.10094161824846898
2025-03-21,36.95,38.0,36.39,36.47,2636500.0,98453028.0,53516380.0,0.04926529036530498
2025-03-24,37.01,37.17,34.04,35.37,2781953.0,98805985.0,53516380.0,0.051983205889486545
2025-03-25,35.37,35.6,34.09,34.41,1820514.0,63727340.0,53516380.0,0.03401788387032157
2025-03-26,34.19,35.3,34.19,34.67,1339600.0,47159716.0,53516380.0,0.02503158845945858
2025-03-27,34.53,35.03,34.09,34.23,1465798.0,50902057.0,53516380.0,0.02738970759980402
2025-03-28,34.23,34.46,33.4,33.47,1237300.0,42143870.0,53516380.0,0.023120024186987238
2025-03-31,33.49,33.49,32.38,33.37,1735300.0,57616722.0,53516380.0,0.032425586334501696
2025-04-01,33.28,33.79,33.14,33.38,1067600.0,36000374.0,53516380.0,0.019949032427081202
2025-04-02,33.38,34.57,33.3,33.64,1417400.0,48591051.0,53516380.0,0.02648534897166064
2025-04-03,33.04,33.48,32.16,32.63,1338200.0,44296130.0,53516380.0,0.02500542824458605
2025-04-07,29.75,30.28,29.37,29.37,710600.0,21179167.0,53516380.0,0.013278177634585896
2025-04-08,28.73,28.93,26.43,26.9,5279300.0,143736289.0,53516380.0,0.09864830169753634
2025-04-09,25.77,27.54,25.11,27.09,4252614.0,114305973.0,53516380.0,0.07946378286423708
2025-04-10,28.24,28.98,27.84,28.68,3766600.0,108830612.0,53516380.0,0.07038218952776701
2025-04-11,28.68,29.4,28.41,28.85,1816170.0,53146382.0,53516380.0,0.033936712460745665
2025-04-14,29.4,29.75,28.73,29.01,1996293.0,59040028.0,53516380.0,0.037302467020377685
2025-04-15,29.53,29.53,28.79,29.33,1392500.0,40989254.0,53516380.0,0.026020070864284917
2025-04-16,29.31,29.43,27.87,28.59,1549200.0,44604015.0,53516380.0,0.028948146343231736
2025-04-17,28.56,29.03,28.25,28.85,1160993.0,33783302.0,53516380.0,0.021694161675359955
2025-04-18,28.99,28.99,28.14,28.69,1182200.0,34061718.0,53516380.0,0.022090432873075497
2025-04-21,28.69,29.11,28.41,29.05,1129030.0,32972766.0,53516380.0,0.021096905283952316
2025-04-22,28.91,29.24,28.79,29.11,880500.0,25805725.0,53516380.0,0.01645290656804515
2025-04-23,29.41,30.46,29.34,30.14,2314600.0,70057841.0,53516380.0,0.04325030953139954
2025-04-24,29.97,30.11,29.09,29.36,1298500.0,38686295.0,53516380.0,0.024263599294272145
2025-04-25,29.26,29.53,28.94,29.2,1236000.0,36397661.0,53516380.0,0.023095732558891316
2025-04-28,29.01,29.2,28.24,28.61,1743521.0,50270206.0,53516380.0,0.03257920285340675
2025-04-29,28.61,30.31,28.61,29.86,2663400.0,80194938.0,53516380.0,0.04976794020821289
2025-04-30,29.84,30.62,29.64,30.54,1799300.0,55103240.0,53516380.0,0.03362148187153167
2025-05-06,30.81,31.45,30.41,31.41,2276100.0,71374505.0,53516380.0,0.042530903622404956
2025-05-07,31.42,31.79,30.76,31.15,1595400.0,50297143.0,53516380.0,0.029811433434025245
2025-05-08,30.89,32.47,30.89,31.89,2279100.0,73207020.0,53516380.0,0.04258696122570323
2025-05-09,32.13,32.13,30.96,31.42,1508700.0,47877372.0,53516380.0,0.028191368698704956
2025-05-12,31.71,32.18,31.4,31.9,1708180.0,54728544.0,53516380.0,0.03191882560068525
2025-05-13,31.97,33.45,31.56,32.47,4222400.0,138411703.0,53516380.0,0.07889920805555234
2025-05-14,31.99,31.99,30.94,31.22,3655500.0,116073646.0,53516380.0,0.06830618961895404
2025-05-15,31.2,31.38,30.59,30.8,2118880.0,66119318.0,53516380.0,0.039593111492219765
2025-05-16,30.72,32.18,30.72,31.5,2666500.0,84958439.0,53516380.0,0.049825866398287774
2025-05-19,31.7,33.17,31.44,32.14,3530600.0,115194328.0,53516380.0,0.065972324734969
2025-05-20,32.14,35.35,31.63,35.35,7317454.0,250923313.0,53516380.0,0.13673297782847046
2025-05-21,35.27,35.27,33.6,34.66,7047681.0,243471141.0,53516380.0,0.13169203522360817
2025-05-22,35.17,36.66,34.64,35.5,8790185.0,315747628.0,53516380.0,0.1642522345494968
2025-05-23,35.16,35.85,33.95,34.03,5852400.0,205796833.0,53516380.0,0.10935717251428441
2025-05-26,34.84,36.66,34.59,34.72,8324985.0,298535170.0,53516380.0,0.1555595688647102
