date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-01-15,2.55,2.55,2.52,2.53,39267342.0,102283331.0,3725777383.0000005,0.010539368825193171
2025-01-16,2.54,2.59,2.53,2.54,52395433.0,137890240.0,3725777383.0000005,0.014062953207851387
2025-01-17,2.54,2.55,2.52,2.54,27372264.0,71410279.0,3725777383.0000005,0.0073467255786387915
2025-01-20,2.56,2.56,2.52,2.52,30536900.0,79629924.0,3725777383.0000005,0.008196115028056682
2025-01-21,2.53,2.54,2.49,2.5,37881533.0,97614210.0,3725777383.0000005,0.010167417187308637
2025-01-22,2.5,2.51,2.47,2.49,25576059.0,65437591.0,3725777383.0000005,0.006864623505606802
2025-01-23,2.51,2.54,2.48,2.48,53021784.0,136878114.0,3725777383.0000005,0.01423106604327143
2025-01-24,2.48,2.51,2.47,2.5,35262503.0,90248973.0,3725777383.0000005,0.009464468586044878
2025-01-27,2.5,2.56,2.5,2.53,53414280.0,139533817.0,3725777383.0000005,0.014336412111931056
2025-02-05,2.55,2.56,2.5,2.51,35788484.0,92892697.0,3725777383.0000005,0.009605642077085955
2025-02-06,2.52,2.53,2.49,2.53,26751400.0,69104382.0,3725777383.0000005,0.007180085456007503
2025-02-07,2.53,2.6,2.52,2.57,69664014.0,183441259.0,3725777383.0000005,0.01869784660722441
2025-02-10,2.57,2.59,2.55,2.56,40306018.0,106307192.0,3725777383.0000005,0.010818149840059833
2025-02-11,2.57,2.58,2.53,2.56,34917936.0,91559354.0,3725777383.0000005,0.009371986678357052
2025-02-12,2.55,2.56,2.53,2.55,34556700.0,90403073.0,3725777383.0000005,0.009275030805027567
2025-02-13,2.56,2.58,2.55,2.55,43517900.0,114610520.0,3725777383.0000005,0.01168022013300197
2025-02-14,2.55,2.56,2.52,2.54,46393100.0,120935927.0,3725777383.0000005,0.012451924855114187
2025-02-17,2.54,2.55,2.52,2.53,39854800.0,103729837.0,3725777383.0000005,0.010697042765316502
2025-02-18,2.55,2.55,2.5,2.52,54518200.0,141766917.0,3725777383.0000005,0.014632704640045315
2025-02-19,2.51,2.52,2.46,2.48,58528871.0,149406611.0,3725777383.0000005,0.015709170190107407
2025-02-20,2.48,2.5,2.46,2.48,33410908.0,85097703.0,3725777383.0000005,0.00896749981693686
2025-02-21,2.48,2.49,2.45,2.46,39851775.0,100903567.0,3725777383.0000005,0.010696230854220093
2025-02-24,2.45,2.48,2.45,2.47,36001064.0,91401399.0,3725777383.0000005,0.00966269862613528
2025-02-25,2.47,2.48,2.43,2.44,42287047.0,106763400.0,3725777383.0000005,0.011349858741681023
2025-02-26,2.44,2.48,2.44,2.47,50688776.0,128534143.0,3725777383.0000005,0.013604885850475944
2025-02-27,2.48,2.5,2.45,2.47,35681335.0,90589835.0,3725777383.0000005,0.00957688324664995
2025-02-28,2.46,2.49,2.44,2.45,45380400.0,114911869.0,3725777383.0000005,0.01218011580806249
