date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-01-13,32.1,33.62,31.98,32.42,2309291.0,76872830.0,32445520.0,0.07117441791655674
2025-01-14,32.26,34.43,32.26,34.42,3340620.0,114145394.0,32445520.0,0.10296090184407586
2025-01-15,34.5,34.5,33.62,33.93,2408650.0,83142209.0,32445520.0,0.07423675132961345
2025-01-16,33.87,34.33,33.13,33.59,2229007.0,76380295.0,32445520.0,0.06869999309611928
2025-01-17,33.23,36.95,33.18,36.95,5640665.0,203733912.0,32445520.0,0.17385034975552865
2025-01-20,37.4,40.65,36.39,40.65,9939179.0,384179421.0,32445520.0,0.30633440302389975
2025-01-21,42.68,44.71,39.15,39.68,17153900.0,727881229.0,32445520.0,0.5286985691707207
2025-01-22,38.63,38.78,36.97,37.45,11083181.0,426216831.0,32445520.0,0.3415935697748102
2025-01-23,37.85,40.5,37.38,39.6,12756844.0,503070154.0,32445520.0,0.39317736316138563
2025-01-24,38.45,40.0,38.45,39.14,8843168.0,350272861.0,32445520.0,0.272554361896496
2025-01-27,38.9,39.31,37.02,37.05,6205650.0,239379418.0,32445520.0,0.19126369372412586
2025-02-05,37.66,38.58,37.26,38.21,6291299.0,242349200.0,40556900.0,0.155122778121602
2025-02-06,38.1,39.93,37.74,39.81,9641034.0,385408457.0,40556900.0,0.23771624557103724
2025-02-07,39.44,40.93,39.06,39.68,9647910.0,390246937.0,40556900.0,0.23788578515616332
2025-02-10,39.52,39.73,38.93,39.52,5624311.0,223962582.0,40556900.0,0.13867704385690227
2025-02-11,39.32,40.41,39.05,39.69,5851087.0,235982342.0,40556900.0,0.14426859547943754
2025-02-12,39.78,40.39,38.63,39.93,6418917.0,258548051.0,40556900.0,0.15826941901378064
2025-02-13,39.85,39.88,37.86,37.94,7190121.0,280998584.0,40556900.0,0.17728477768271245
2025-02-14,37.76,37.93,37.38,37.67,3715514.0,141883318.0,40556900.0,0.09161237668559481
2025-02-17,37.66,38.7,37.66,38.58,4532982.0,176337011.0,40556900.0,0.11176845370331559
2025-02-18,38.55,42.43,38.17,42.43,16254833.0,682456373.0,40556900.0,0.4007908148798355
2025-02-19,42.01,46.3,41.59,44.25,20611156.0,914904615.0,40556900.0,0.5082034376394645
2025-02-20,43.18,43.74,42.08,43.36,12418298.0,538892691.0,40556900.0,0.3061944576631843
2025-02-21,43.08,44.47,42.82,44.1,10828472.0,481595972.0,40556900.0,0.26699456812527583
2025-02-24,43.87,45.55,42.12,44.83,9733253.0,435351053.0,40556900.0,0.2399900633431056
2025-02-25,43.98,47.77,43.46,46.13,11777321.0,549657787.0,40556900.0,0.29039006926071764
2025-02-26,45.55,47.49,44.53,45.39,10073638.0,470304015.0,40556900.0,0.24838283991133445
2025-02-27,45.18,45.25,43.08,44.17,7413073.0,331805234.0,40556900.0,0.18278204201997686
2025-02-28,43.78,43.78,41.48,41.64,5440495.0,232604883.0,40556900.0,0.13414474479065214
2025-03-03,42.19,43.29,41.3,42.4,4861877.0,208976491.0,40556900.0,0.1198779245948285
2025-03-04,41.82,43.33,41.59,43.0,4865228.0,212365904.0,40556900.0,0.11996054925302477
2025-03-05,42.57,44.92,42.44,44.7,6763533.0,303175293.0,40556900.0,0.16676651815104213
2025-03-06,44.68,45.16,44.18,44.58,6137105.0,277912380.0,40556900.0,0.15132086032216466
2025-03-07,44.17,46.83,43.82,45.9,9114782.0,424419200.0,40556900.0,0.22474059901027937
2025-03-10,46.38,46.54,44.71,45.01,5466733.0,251026095.0,40556900.0,0.13479168772761232
2025-03-11,44.23,44.8,43.33,44.36,4578622.0,204368744.0,40556900.0,0.11289378626078424
2025-03-12,44.35,44.94,44.07,44.51,3454030.0,155958479.0,40556900.0,0.08516503973429922
2025-03-13,45.18,45.18,41.6,42.62,6092466.0,264941256.0,40556900.0,0.15022020913827241
2025-03-14,42.05,43.78,41.54,43.34,4018004.0,174329293.0,40556900.0,0.09907078696843201
2025-03-17,43.33,43.71,42.39,43.09,2720214.0,118531867.0,40556900.0,0.06707154639531128
2025-03-18,43.09,43.97,42.61,43.53,3206768.0,140925251.0,40556900.0,0.07906837061017977
2025-03-19,43.42,44.45,42.64,43.59,3356500.0,147902012.0,40556900.0,0.08276027013898991
2025-03-20,43.43,45.65,42.93,44.8,6731288.0,304198240.0,40556900.0,0.1659714623159068
2025-03-21,44.23,45.02,41.96,42.06,5072854.0,221299576.0,40556900.0,0.12507992474770013
2025-03-24,41.91,42.33,39.09,40.3,4436494.0,181777843.0,40556900.0,0.10938937640697391
2025-03-25,40.23,41.03,39.62,39.79,2663761.0,109132315.0,40556900.0,0.0656796007584406
2025-03-26,39.4,41.17,39.4,40.24,2470700.0,101430362.0,40556900.0,0.06091935034482419
2025-03-27,40.23,40.48,38.86,39.55,1820107.0,73423386.0,40556900.0,0.04487786295303635
2025-03-28,39.7,40.09,38.86,38.86,1723007.0,68634585.0,40556900.0,0.04248369574597664
2025-03-31,38.66,38.66,37.47,38.45,2026583.0,78237802.0,40556900.0,0.04996888322332328
2025-04-01,38.75,39.26,38.35,38.45,1301600.0,51009413.0,40556900.0,0.03209318266435551
2025-04-02,38.64,39.27,38.35,38.81,1606000.0,63347665.0,40556900.0,0.0395986872763944
2025-04-03,38.42,38.88,37.96,38.06,1565640.0,60892965.0,40556900.0,0.03860354218394404
2025-04-07,34.7,35.82,34.25,34.25,2016220.0,70614066.0,40556900.0,0.04971336566650804
2025-04-15,37.67,37.67,37.67,37.67,416600.0,15918286.0,40556900.0,0.010271988243677402
2025-04-16,39.83,39.83,37.76,38.65,8330295.0,329780636.0,40556900.0,0.20539772517130253
2025-04-17,37.77,38.05,36.88,37.0,4337355.0,164207207.0,40556900.0,0.10694493415423763
2025-04-18,36.96,37.0,36.26,36.28,2369507.0,87641147.0,40556900.0,0.058424263195658445
2025-04-21,36.68,37.5,36.43,37.47,2792975.0,104939739.0,40556900.0,0.06886559377072705
2025-04-22,37.3,37.44,36.82,36.83,2167848.0,81625165.0,40556900.0,0.05345201433048384
2025-04-23,37.13,38.6,37.13,38.41,4271148.0,164635542.0,40556900.0,0.10531248690111916
2025-04-24,38.26,38.52,37.53,37.66,2561819.0,98620188.0,40556900.0,0.06316604572834708
2025-04-25,37.66,38.01,37.29,37.78,2117834.0,81001870.0,40556900.0,0.05221883329347164
2025-04-28,37.87,37.87,36.68,36.69,1907416.0,71793884.0,40556900.0,0.04703061624532447
2025-04-29,36.58,37.4,36.45,36.89,1860200.0,69847911.0,40556900.0,0.04586642470208522
2025-04-30,36.92,38.34,36.7,38.12,3013265.0,115622600.0,40556900.0,0.07429722192771143
2025-05-06,38.45,39.2,38.16,39.15,2900600.0,114109127.0,40556900.0,0.07151927292273325
2025-05-07,39.68,39.9,38.99,39.54,3610921.0,144245594.0,40556900.0,0.08903345669910669
2025-05-08,39.43,40.05,39.24,39.58,2478600.0,99636612.0,40556900.0,0.06111413840801442
2025-05-09,39.52,39.54,38.54,38.75,1846900.0,72887718.0,40556900.0,0.04553849036785356
2025-05-12,38.94,40.15,38.94,39.92,2770007.0,111659843.0,40556900.0,0.06829927829789752
2025-05-13,40.13,40.13,39.15,39.28,2172100.0,87149799.0,40556900.0,0.05355685469057053
2025-05-14,39.24,39.34,38.53,38.99,2083500.0,82180511.0,40556900.0,0.051372269576816766
2025-05-15,38.99,39.12,38.32,38.55,1525900.0,59697028.0,40556900.0,0.03762368425594658
2025-05-16,38.45,39.1,38.45,38.85,1760000.0,69454965.0,40556900.0,0.04339582167276099
