date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-01-13,8.23,8.48,8.07,8.44,8802000.0,73367358.0,347041495.99999994,0.025362961206229936
2025-01-14,8.53,8.95,8.47,8.94,14519252.0,127748014.0,347041495.99999994,0.04183722167910434
2025-01-15,8.91,9.04,8.83,8.85,10070100.0,89794372.0,347041495.99999994,0.029016991097802328
2025-01-16,8.86,9.12,8.77,8.9,10684564.0,95796128.0,347041495.99999994,0.030787568988579976
2025-01-17,8.91,9.02,8.82,8.84,7748500.0,69057268.0,347041495.99999994,0.022327301170923956
2025-01-20,9.0,9.0,8.8,8.91,7903100.0,70568534.0,347041495.99999994,0.02277278103941784
2025-01-21,8.98,9.02,8.82,8.93,9849400.0,87978591.0,347041495.99999994,0.028381044092779042
2025-01-22,8.88,8.92,8.68,8.73,7807000.0,68748330.0,347041495.99999994,0.02249586890900217
2025-01-23,8.86,9.05,8.69,8.69,11436300.0,102167102.0,347041495.99999994,0.0329536961193828
2025-01-24,8.66,8.86,8.62,8.76,8353800.0,73001286.0,347041495.99999994,0.02407147299756915
2025-01-27,8.8,9.01,8.56,8.58,7767000.0,68085558.0,347041495.99999994,0.022380608917153818
2025-02-05,8.67,9.0,8.67,8.9,12057000.0,106858999.0,347041495.99999994,0.03474224304288961
2025-02-06,8.88,9.14,8.8,9.14,15011464.0,136245135.0,347041495.99999994,0.04325553045679587
2025-02-07,9.18,9.38,9.09,9.26,16910664.0,157070236.0,347041495.99999994,0.04872807486975564
2025-02-10,9.27,9.37,9.25,9.33,12574002.0,117196078.0,347041495.99999994,0.03623198420052916
2025-02-11,9.31,9.43,9.14,9.26,14742300.0,137115497.0,347041495.99999994,0.042479934445649126
2025-02-12,9.23,9.6,9.21,9.52,19465424.0,185017371.0,347041495.99999994,0.05608961528911806
2025-02-13,9.58,10.51,9.58,9.73,44977490.0,453338492.0,347041495.99999994,0.12960262826898375
2025-02-14,9.59,10.01,9.45,9.92,34705716.0,336825356.0,347041495.99999994,0.1000045135812808
2025-02-17,9.91,10.14,9.82,9.86,26071141.0,260111050.0,347041495.99999994,0.07512398747843112
2025-02-18,9.8,9.8,9.23,9.26,20030697.0,190229534.0,347041495.99999994,0.0577184493234204
2025-02-19,9.28,9.49,9.26,9.46,12026861.0,113646490.0,347041495.99999994,0.03465539752053167
2025-02-20,9.43,9.54,9.36,9.5,14126014.0,133878743.0,347041495.99999994,0.04070410646224278
2025-02-21,9.44,9.63,9.32,9.54,14906011.0,141407066.0,347041495.99999994,0.04295166765878626
2025-02-24,9.67,10.4,9.6,9.93,38475364.0,386322761.0,347041495.99999994,0.11086675352505974
2025-02-25,9.69,10.23,9.61,9.98,29006796.0,291440834.0,347041495.99999994,0.08358307676267049
2025-02-26,9.92,10.13,9.83,10.03,23770897.0,237414832.0,347041495.99999994,0.06849583486120059
2025-02-27,10.09,10.1,9.64,9.87,20194698.0,199005301.0,347041495.99999994,0.05819101817149844
2025-02-28,9.77,9.88,9.3,9.33,16847700.0,160953836.0,347041495.99999994,0.04854664411658715
2025-03-03,9.43,9.56,9.31,9.41,11163108.0,105755375.0,347041495.99999994,0.03216649342705692
2025-03-04,9.34,9.53,9.33,9.53,9536407.0,90287255.0,347041495.99999994,0.02747915482706426
2025-03-05,9.67,9.67,9.36,9.46,10100382.0,95646582.0,347041495.99999994,0.02910424867463112
2025-03-06,9.47,9.73,9.45,9.72,17588848.0,169687795.0,347041495.99999994,0.05068226192754772
2025-03-07,9.63,9.73,9.41,9.51,12867500.0,123790196.0,347041495.99999994,0.03707769862771685
2025-03-10,9.49,9.61,9.36,9.41,8490600.0,80352582.0,347041495.99999994,0.024465662169690514
2025-03-11,9.36,9.43,9.24,9.4,8679163.0,81057394.0,347041495.99999994,0.025009006415763035
2025-03-12,9.41,9.51,9.36,9.38,9457666.0,89222403.0,347041495.99999994,0.02725226265161098
2025-03-13,9.37,9.37,8.94,9.09,14776268.0,134614291.0,347041495.99999994,0.04257781323072674
2025-03-14,9.08,9.2,8.96,9.2,9604399.0,87788523.0,347041495.99999994,0.027675073761208088
2025-03-17,9.18,9.3,9.15,9.15,8023900.0,74138206.0,347041495.99999994,0.023120866214799862
2025-03-18,9.16,9.32,9.16,9.26,7974300.0,73870667.0,347041495.99999994,0.022977943824907907
2025-03-19,9.26,9.26,9.08,9.12,6653600.0,61049387.0,347041495.99999994,0.019172347044054933
2025-03-20,9.18,9.3,9.06,9.12,7381830.0,67840520.0,347041495.99999994,0.021270741640648072
2025-03-21,9.1,9.15,8.94,8.97,7794700.0,70451251.0,347041495.99999994,0.022460426461508802
2025-03-24,8.96,8.99,8.46,8.66,10476830.0,91160402.0,347041495.99999994,0.030188983509914336
2025-03-25,8.67,8.83,8.6,8.74,7124546.0,62258275.0,347041495.99999994,0.020529377847080286
2025-03-26,8.85,8.94,8.72,8.89,6845100.0,60705885.0,347041495.99999994,0.01972415425502892
2025-03-27,8.81,9.15,8.73,9.03,11567870.0,103928481.0,347041495.99999994,0.03333281504756999
2025-03-28,8.97,9.01,8.63,8.64,9329262.0,81898594.0,347041495.99999994,0.026882266551778587
2025-03-31,8.58,8.68,8.38,8.49,7494549.0,63759978.0,347041495.99999994,0.021595541416176933
2025-04-01,8.48,8.68,8.48,8.58,5565699.0,48037036.0,347041495.99999994,0.01603756053425957
2025-04-02,8.55,8.67,8.5,8.54,4821111.0,41417933.0,347041495.99999994,0.013892030364000047
2025-04-03,8.43,8.58,8.38,8.48,4579100.0,38904565.0,347041495.99999994,0.013194675716819758
2025-04-07,7.78,7.98,6.79,6.79,17141913.0,123255685.0,347041495.99999994,0.04939441881612913
