code,name,industry,board,is_stage1,label,date,close,ma50,ma150,ma200,52w_high,52w_low,pct_above_52w_low,pct_below_52w_high,return_20d_pct,return_120d_pct,amount_cny,volume,score,conditions,cup_handle_details,vcp_details,financial_pass,financial_score,is_transition,is_base_transition,is_high_quality_transition,stage2_core_count,transition_details,market_cap_cny,pe_ttm,next_report_period,next_report_deadline,rev_growth,profit_growth,profit_margin,matched_reason,ma200_change_pct,vol_contraction_ratio,range_pct,pct_off_ma200
002155,湖南黄金,B 采矿业,深圳主板,True,高质量过渡态,2026-06-18,26.66,27.1,26.53,25.14,43.1,16.66,60.02,-38.14,9.4,24.17,1779638783.0,67403249.0,166.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': False, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': True, 'high_trend_ok': False, 'vcp_tight_range': 28.34, 'vcp_vol_dry_up': np.True_, 'vcp_breakout': False, 'vcp_ranges': [12.16, 34.18, 28.34], 'vcp_vols': [180798551.64, 113786767.25, 49572761.47], 'vcp_resistance': 31.65}",True,10,True,True,True,7,"{'stage2_core_count': 7, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.True_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(2)}",0,27.59,中报,2026-08-31,"[96.26, 80.26, 43.51]","[55.27, 75.99, 77.85]","[2.55, 3.01, 3.22]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+6.0%）; 成交量萎缩; 价格波动收窄; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,2.75,0.62,21.52,6.04
002266,浙富控股,N 公共环保,深圳主板,True,高质量过渡态,2026-06-18,4.87,4.9,4.58,4.44,5.8,2.97,63.97,-16.03,-8.97,23.29,319266576.0,65011591.0,150.07,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': True, 'near_low': False, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': True, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 19.18, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [22.39, 19.18], 'vcp_vols': [91430195.96, 110601962.73], 'vcp_resistance': 5.58}",True,15,True,True,True,8,"{'stage2_core_count': 8, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,21.57,中报,2026-08-31,"[5.88, 11.01, 25.22]","[0.7, 16.92, 114.82]","[4.92, 5.08, 9.99]",SEPA Stage 1: MA200 走平; 成交量萎缩; 价格波动收窄; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,2.97,0.62,23.87,9.72
002216,三全食品,C 制造业,深圳主板,True,纯筑底股,2026-06-18,11.66,12.73,11.77,11.5,14.38,10.14,14.99,-18.92,-9.33,7.86,65559016.0,5612920.0,129.96,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '左杯沿到杯底距离过短，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},True,15,False,False,False,6,{'stage2_core_count': 6},0,18.54,中报,2026-08-31,"[-2.44, -1.38, 10.58]","[0.4, 1.94, 29.11]","[7.92, 8.45, 10.98]",SEPA Stage 1: MA200 走平; 贴近MA200（+1.4%）; 成交量萎缩; 价格波动收窄; 业绩加速,1.44,0.7,15.09,1.41
002326,永太科技,C 制造业,深圳主板,True,纯筑底股,2026-06-18,23.21,23.27,24.06,22.12,33.0,11.4,103.6,-29.67,2.34,1.27,1451717677.0,63554860.0,125.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': False, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': False, 'vcp_tight_range': 23.95, 'vcp_vol_dry_up': np.True_, 'vcp_breakout': False, 'vcp_ranges': [26.12, 14.13, 23.95], 'vcp_vols': [60509323.71, 36672678.0, 49017337.5], 'vcp_resistance': 27.22}",True,10,False,False,False,5,{'stage2_core_count': 5},0,176.23,中报,2026-08-31,"[20.65, 13.6, 59.7]","[-36.18, 84.9, 848.64]","[0.75, -0.37, 7.2]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+4.9%）; 成交量萎缩; 价格波动收窄; 业绩加速,4.14,0.7,20.64,4.92
002250,联化科技,C 制造业,深圳主板,True,纯筑底股,2026-06-18,13.92,15.47,15.22,14.22,19.36,9.79,42.19,-28.1,-3.27,19.18,155420325.0,11210456.0,124.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},True,8,False,False,False,5,{'stage2_core_count': 5},0,29.54,中报,2026-08-31,"[8.25, 13.27, 30.0]","[383.77, 180.35, 101.25]","[7.87, 6.6, 7.17]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（-2.1%）; 成交量萎缩; 价格波动收窄; 业绩加速,2.84,0.47,15.17,-2.1
002115,三维通信,L 商务服务,深圳主板,True,纯筑底股,2026-06-18,11.69,12.96,13.03,12.6,21.0,8.11,44.14,-44.33,-9.87,-3.15,359426286.0,30672080.0,123.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},True,13,False,False,False,4,{'stage2_core_count': 4},0,363.04,中报,2026-08-31,"[-14.89, 9.16, 110.51]","[-75.98, -37.97, 389.62]","[0.21, -0.01, 0.54]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（-7.2%）; 成交量萎缩; 价格波动收窄; 业绩加速,3.05,0.39,23.23,-7.2
002299,圣农发展,C 制造业,深圳主板,True,纯筑底股,2026-06-18,16.14,17.54,17.11,17.02,19.76,13.67,18.07,-18.32,-6.27,1.89,108855011.0,6762885.0,121.66,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},False,5,False,False,False,5,{'stage2_core_count': 5},0,14.46,中报,2026-08-31,"[6.86, 8.12, 25.46]","[218.57, 93.88, 66.61]","[7.97, 6.9, 4.97]",SEPA Stage 1: MA200 走平; 贴近MA200（-5.1%）; 成交量萎缩; 价格波动收窄,0.29,0.69,13.43,-5.15
002246,北化股份,C 制造业,深圳主板,True,纯筑底股,2026-06-18,20.13,23.12,21.3,20.67,27.75,12.46,61.56,-27.46,-10.93,22.67,264317212.0,13079623.0,121.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': False, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},False,3,False,False,False,5,{'stage2_core_count': 5},0,43.88,中报,2026-08-31,"[41.09, 41.26, 17.18]","[-167.61, 211.77, 151.09]","[10.11, 9.16, 13.74]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（-2.6%）; 成交量萎缩; 价格波动收窄,1.48,0.67,24.17,-2.62
002328,新朋股份,C 制造业,深圳主板,True,高质量过渡态,2026-06-18,7.93,9.98,7.88,7.5,13.42,5.25,51.05,-40.91,-16.44,24.49,155821302.0,19560914.0,120.83,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': False, 'tight_range': False, 'near_low': True, 'not_in_stage2': True}",{'reason': '柄部周期异常(42天)，标准1-4周'},{'reason': '首轮回调幅度过小，无洗盘意义'},True,8,True,True,True,7,"{'stage2_core_count': 7, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,29.02,中报,2026-08-31,"[-20.53, -23.43, -22.58]","[-12.74, -15.03, 89.74]","[6.51, 5.49, 13.95]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+5.7%）; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,3.83,0.97,39.35,5.72
002111,威海广泰,C 制造业,深圳主板,True,纯筑底股,2026-06-18,9.54,10.35,10.35,10.3,11.69,9.04,5.53,-18.39,-12.24,-2.25,74244124.0,7755140.0,120.7,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},True,15,False,False,False,3,{'stage2_core_count': 3},0,39.21,中报,2026-08-31,"[10.75, 15.09, 32.25]","[-2.51, 75.1, 83.85]","[5.43, 3.9, 9.1]",SEPA Stage 1: MA200 走平; 贴近MA200（-7.4%）; 成交量萎缩; 价格波动收窄; 业绩加速,-0.72,0.82,21.17,-7.42
