code,name,industry,board,is_stage1,label,date,close,ma50,ma150,ma200,52w_high,52w_low,pct_above_52w_low,pct_below_52w_high,return_20d_pct,return_120d_pct,amount_cny,volume,score,conditions,cup_handle_details,vcp_details,financial_pass,financial_score,is_transition,is_base_transition,is_high_quality_transition,stage2_core_count,transition_details,market_cap_cny,pe_ttm,next_report_period,next_report_deadline,rev_growth,profit_growth,profit_margin,matched_reason,ma200_change_pct,vol_contraction_ratio,range_pct,pct_off_ma200
002772,众兴菌业,A 农林牧渔,深圳主板,True,纯筑底股,2026-06-18,12.61,15.27,15.1,13.73,19.34,7.26,73.69,-34.8,-13.87,6.86,84135274.0,6633714.0,111.15,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': True, 'near_low': False, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},True,15,False,False,False,5,{'stage2_core_count': 5},0,14.82,中报,2026-08-31,"[4.16, 8.43, 27.36]","[132.76, 164.29, 241.06]","[13.81, 15.95, 27.13]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 成交量萎缩; 价格波动收窄; 业绩加速,3.92,0.59,24.33,-8.18
002597,金禾实业,C 制造业,深圳主板,True,纯筑底股,2026-06-18,20.9,21.98,22.14,22.03,28.96,18.5,12.97,-27.83,-0.05,4.55,164759476.0,7972000.0,110.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},False,5,False,False,False,1,{'stage2_core_count': 1},0,30.38,中报,2026-08-31,"[-12.35, -7.39, 16.44]","[-4.44, -37.66, -60.29]","[11.04, 7.07, 6.34]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（-5.1%）; 成交量萎缩; 价格波动收窄,-0.91,0.84,22.16,-5.12
002807,江阴银行,J 金融业,深圳主板,True,纯筑底股,2026-06-18,3.92,4.0,4.07,4.09,4.67,3.8,3.16,-16.06,-0.25,-3.45,92379076.0,23604149.0,109.53,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},False,7,False,False,False,1,{'stage2_core_count': 1},0,4.77,中报,2026-08-31,,"[11.71, 0.05, 1.97]",,SEPA Stage 1: MA200 走平; 贴近MA200（-4.2%）; 成交量萎缩; 价格波动收窄,-0.31,0.8,7.51,-4.18
002716,湖南白银,C 制造业,深圳主板,True,纯筑底股,2026-06-18,9.14,10.79,10.62,9.56,21.3,3.73,145.04,-57.09,-7.49,51.58,807041774.0,87906264.0,105.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': False, 'near_low': False, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},True,10,False,False,False,5,{'stage2_core_count': 5},0,75.85,中报,2026-08-31,"[59.56, 49.7, 69.17]","[28.44, 100.38, 455.78]","[1.84, 2.73, 4.86]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（-4.4%）; 成交量萎缩; 业绩加速,4.94,0.42,27.03,-4.39
002785,万里石,C 制造业,深圳主板,True,纯筑底股,2026-06-18,40.88,45.28,41.65,39.34,57.3,26.82,52.42,-28.66,-19.59,16.37,448548492.0,10881100.0,104.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': False, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 32.21, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [23.72, 32.21], 'vcp_vols': [7760333.45, 9522183.86], 'vcp_resistance': 56.5}",False,3,False,False,False,6,{'stage2_core_count': 6},0,,中报,2026-08-31,"[2.74, -13.25, -22.06]","[-82.53, -833.26]","[-0.15, -9.12, -1.72]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+3.9%）; 成交量萎缩,3.41,0.76,35.71,3.91
002591,恒大高新,C 制造业,深圳主板,True,纯筑底股,2026-06-18,6.92,7.7,7.41,7.09,9.5,5.36,29.1,-27.16,-18.3,10.02,64607520.0,9321500.0,103.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': False, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},True,13,False,False,False,4,{'stage2_core_count': 4},0,342.57,中报,2026-08-31,"[-23.53, -14.21, 121.1]","[-143.27, -121.05, 214.57]","[-1.27, -7.08, 3.35]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（-2.4%）; 成交量萎缩; 业绩加速,1.74,0.73,39.5,-2.42
002608,江苏国信,D 水电煤气,深圳主板,True,基础过渡态,2026-06-18,8.35,8.44,8.1,8.09,11.13,7.07,18.1,-24.98,2.58,8.3,717279090.0,84261705.0,98.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': False, 'tight_range': False, 'near_low': True, 'not_in_stage2': True}",{'reason': '左杯沿到杯底距离过短，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},False,5,True,True,False,7,"{'stage2_core_count': 7, 'is_base_transition': np.True_, 'is_high_quality_transition': False, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': False, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,6.65,中报,2026-08-31,"[-6.84, -3.71, 13.43]","[12.3, 8.37, -11.85]","[17.08, 13.71, 11.72]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+3.3%）; Stage1末期→即将进入Stage2,1.95,3.99,41.06,3.27
002582,好想你,C 制造业,深圳主板,True,纯筑底股,2026-06-18,9.01,10.86,10.84,10.47,15.69,8.47,6.38,-42.57,-12.78,-6.63,100699834.0,11172800.0,98.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},False,3,False,False,False,4,{'stage2_core_count': 4},0,3.63,中报,2026-08-31,"[-9.77, -20.48, 22.43]","[227.7, 2701.05]","[-0.43, 65.16, 219.98]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 成交量萎缩; 价格波动收窄,0.64,0.5,21.1,-13.95
002638,勤上股份,C 制造业,深圳主板,True,纯筑底股,2026-06-18,4.08,4.43,3.67,3.4,5.17,2.2,85.45,-21.08,-4.0,36.45,184286350.0,45657725.0,98.2,"{'corrected_25pct': True, 'ma200_flattening': False, 'near_ma200': False, 'volume_contracting': True, 'tight_range': True, 'near_low': False, 'not_in_stage2': True}",{'reason': '柄部周期异常(26天)，标准1-4周'},{'reason': '首轮回调幅度过小，无洗盘意义'},False,3,False,False,False,8,"{'stage2_core_count': 8, 'is_base_transition': np.False_, 'is_high_quality_transition': np.False_, 'ma200_turning_up': False, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': False, 'rps_120_ready': True, 'tech_signal_count': np.int64(0)}",0,,中报,2026-08-31,"[7.16, 2.01, -24.16]",,"[-57.43, -84.75, -20.59]",SEPA Stage 1: 从高点回调 ≥20%; 成交量萎缩; 价格波动收窄,6.15,0.78,23.51,20.09
002780,三夫户外,F 批发零售,深圳主板,True,纯筑底股,2026-06-18,12.97,14.89,15.12,14.82,19.13,11.85,9.45,-32.2,-13.59,-7.88,45015896.0,3465500.0,98.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},True,8,False,False,False,3,{'stage2_core_count': 3},0,47.01,中报,2026-08-31,"[17.04, 19.41, 35.99]","[347.4, 2422.9, 157.53]","[3.17, 4.77, 11.34]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 成交量萎缩; 价格波动收窄; 业绩加速,0.03,0.64,19.91,-12.51
002788,鹭燕医药,F 批发零售,深圳主板,True,纯筑底股,2026-06-18,10.93,13.37,14.54,13.01,28.29,7.83,39.59,-61.36,-10.56,-4.87,105893487.0,9696975.0,97.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},False,0,False,False,False,4,{'stage2_core_count': 4},0,15.22,中报,2026-08-31,"[2.87, 3.79, 3.43]","[-15.29, -19.76, -5.32]","[1.38, 1.31, 1.23]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 成交量萎缩; 价格波动收窄,2.3,0.28,15.35,-16.01
002577,雷柏科技,C 制造业,深圳主板,True,纯筑底股,2026-06-18,19.52,17.41,17.69,18.35,23.17,14.71,32.7,-15.75,3.55,10.16,279553641.0,14459027.0,96.88,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': False, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},True,8,False,False,False,5,{'stage2_core_count': 5},0,670.79,中报,2026-08-31,"[-1.69, 4.47, 8.63]","[-76.03, -112.83, -39.8]","[2.54, -1.03, 4.47]",SEPA Stage 1: MA200 走平; 贴近MA200（+6.4%）; 价格波动收窄; 业绩加速,-1.49,1.72,15.76,6.37
002611,东方精工,C 制造业,深圳主板,True,纯筑底股,2026-06-18,18.74,17.97,18.1,18.14,22.28,10.98,70.67,-15.89,0.27,9.02,1109025454.0,59234428.0,95.94,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': False, 'tight_range': True, 'near_low': False, 'not_in_stage2': True}",{'reason': '柄部周期异常(22天)，标准1-4周'},{'reason': '不满足SEPA上升趋势前提'},False,0,False,False,False,6,{'stage2_core_count': 6},0,29.64,中报,2026-08-31,"[2.52, 9.43, 5.94]","[51.41, 42.49, -101.18]","[15.94, 14.72, -0.32]",SEPA Stage 1: MA200 走平; 贴近MA200（+3.3%）; 价格波动收窄,1.4,1.24,19.19,3.29
002702,海欣食品,C 制造业,深圳主板,True,纯筑底股,2026-06-18,4.79,5.55,6.41,5.93,11.22,3.94,21.57,-57.31,-13.38,-43.71,53514504.0,11197746.0,95.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},True,8,False,False,False,2,{'stage2_core_count': 2},0,197.93,中报,2026-08-31,"[-15.05, -10.79, 43.8]","[-92.81, 1618.24]","[-3.03, -3.27, 2.86]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 成交量萎缩; 价格波动收窄; 业绩加速,1.41,0.38,22.15,-19.23
002658,雪迪龙,C 制造业,深圳主板,True,纯筑底股,2026-06-18,7.92,8.49,8.98,8.75,11.56,6.64,19.28,-31.49,-12.87,-5.26,71503769.0,9084902.0,94.59,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},False,5,False,False,False,2,{'stage2_core_count': 2},0,33.18,中报,2026-08-31,"[6.34, -1.59, -12.14]","[52.12, -10.52, 39.38]","[13.02, 10.86, 6.38]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 成交量萎缩; 价格波动收窄,0.2,0.62,22.67,-9.46
002653,海思科,C 制造业,深圳主板,True,纯筑底股,2026-06-18,49.03,53.22,52.61,53.11,62.33,40.49,21.09,-21.34,-5.98,-5.53,176813726.0,3590111.0,94.17,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': False, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},True,8,False,False,False,3,{'stage2_core_count': 3},0,99.01,中报,2026-08-31,"[19.95, 17.91, 75.33]","[-34.67, -44.32, 1090.17]","[8.95, 5.92, 35.46]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（-7.7%）; 价格波动收窄; 业绩加速,-0.95,0.95,18.21,-7.68
