code,name,industry,board,is_stage1,label,date,close,ma50,ma150,ma200,52w_high,52w_low,pct_above_52w_low,pct_below_52w_high,return_20d_pct,return_120d_pct,amount_cny,volume,score,conditions,cup_handle_details,vcp_details,financial_pass,financial_score,is_transition,is_base_transition,is_high_quality_transition,stage2_core_count,transition_details,market_cap_cny,pe_ttm,next_report_period,next_report_deadline,rev_growth,profit_growth,profit_margin,matched_reason,ma200_change_pct,vol_contraction_ratio,range_pct,pct_off_ma200
001335,信凯科技,F 批发零售,深圳主板,True,基础过渡态,2026-06-18,46.63,46.23,46.12,44.37,58.68,36.16,28.95,-20.54,-4.84,0.5,61443146.0,1304399.0,148.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '柄部周期异常(21天)，标准1-4周'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': True, 'vcp_vol_shrink': True, 'high_trend_ok': False, 'vcp_tight_range': 11.28, 'vcp_vol_dry_up': np.True_, 'vcp_breakout': False, 'vcp_ranges': [29.45, 11.28], 'vcp_vols': [1515726.0, 1241060.0], 'vcp_resistance': 50.72}",True,8,True,True,False,8,"{'stage2_core_count': 8, 'is_base_transition': np.True_, 'is_high_quality_transition': False, 'ma200_turning_up': True, 'volume_turning_up': np.True_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': False, 'tech_signal_count': np.int64(2)}",0,63.9,中报,2026-08-31,"[-2.85, -7.33, 8.92]","[-13.21, -34.92, 2.95]","[5.74, 5.21, 5.78]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+5.1%）; 成交量萎缩; 价格波动收窄; 业绩加速; Stage1末期→即将进入Stage2,2.09,0.79,14.71,5.08
001218,丽臣实业,C 制造业,深圳主板,True,高质量过渡态,2026-06-18,24.66,25.61,24.67,23.66,29.29,16.59,48.64,-15.81,-3.22,13.38,134540695.0,5402073.0,138.9,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': False, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},True,10,True,True,True,7,"{'stage2_core_count': 7, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,19.88,中报,2026-08-31,"[35.09, 36.56, 33.71]","[32.41, 47.99, 179.06]","[2.89, 3.24, 5.47]",SEPA Stage 1: MA200 走平; 贴近MA200（+4.2%）; 价格波动收窄; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,2.54,1.2,18.61,4.24
002025,航天电器,C 制造业,深圳主板,True,高质量过渡态,2026-06-18,63.53,71.02,58.05,55.76,83.63,40.08,58.51,-24.03,-12.03,33.75,986486852.0,15441059.0,128.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': False, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 22.19, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [29.5, 15.9, 22.19], 'vcp_vols': [24854327.39, 35130659.12, 24219537.0], 'vcp_resistance': 76.7}",True,8,True,True,True,8,"{'stage2_core_count': 8, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,122.91,中报,2026-08-31,"[8.87, 15.82, 10.09]","[-61.56, -41.77, 12.66]","[4.13, 4.04, 4.35]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 成交量萎缩; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,2.75,0.73,33.7,13.93
002033,丽江股份,N 公共环保,深圳主板,True,纯筑底股,2026-06-18,8.44,8.97,8.92,8.85,11.17,8.03,5.11,-24.44,-1.52,-1.97,86244716.0,10248957.0,127.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},True,15,False,False,False,5,{'stage2_core_count': 5},0,19.39,中报,2026-08-31,"[3.79, 6.42, 23.56]","[0.47, 1.12, 96.35]","[33.07, 27.79, 37.48]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（-4.7%）; 成交量萎缩; 价格波动收窄; 业绩加速,0.11,0.71,8.24,-4.67
001286,陕西能源,D 水电煤气,深圳主板,True,高质量过渡态,2026-06-18,10.89,11.77,10.72,10.35,13.79,8.57,27.07,-21.03,-4.47,9.23,545751816.0,48484143.0,123.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': False, 'tight_range': False, 'near_low': True, 'not_in_stage2': True}",{'reason': '左杯沿到杯底距离过短，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},True,15,True,True,True,7,"{'stage2_core_count': 7, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,8.69,中报,2026-08-31,"[-2.83, -0.86, 11.1]","[-3.4, 0.83, 31.09]","[22.68, 20.48, 24.06]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+5.2%）; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,2.88,1.5,27.69,5.22
001872,招商港口,G 运输仓储,深圳主板,True,纯筑底股,2026-06-18,19.43,21.83,20.88,20.81,24.09,19.26,0.88,-19.34,-14.33,-2.51,66874817.0,3411700.0,123.17,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},False,7,False,False,False,5,{'stage2_core_count': 5},0,5.41,中报,2026-08-31,"[4.89, 6.92, 4.58]","[2.13, 0.31, 3.38]","[58.48, 51.64, 50.13]",SEPA Stage 1: MA200 走平; 贴近MA200（-6.6%）; 成交量萎缩; 价格波动收窄,0.49,0.78,18.84,-6.64
002108,沧州明珠,C 制造业,深圳主板,True,纯筑底股,2026-06-18,4.63,5.28,5.05,4.81,6.44,3.21,44.24,-28.11,-10.44,-3.74,159390360.0,34221731.0,121.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},False,3,False,False,False,5,{'stage2_core_count': 5},0,49.68,中报,2026-08-31,"[5.9, 3.73, 20.6]","[0.99, -0.75, -8.45]","[6.73, 5.39, 6.33]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（-3.8%）; 成交量萎缩; 价格波动收窄,2.4,0.47,21.43,-3.78
001965,招商公路,G 运输仓储,深圳主板,True,纯筑底股,2026-06-18,9.82,9.56,9.78,9.9,12.22,8.66,13.39,-19.64,-2.96,-1.01,131015815.0,13293207.0,117.82,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},True,8,False,False,False,3,{'stage2_core_count': 3},0,13.07,中报,2026-08-31,"[-4.12, 5.11, 26.9]","[-6.05, -13.97, -0.24]","[50.82, 38.22, 42.09]",SEPA Stage 1: MA200 走平; 贴近MA200（-0.8%）; 成交量萎缩; 价格波动收窄; 业绩加速,-1.46,0.84,9.99,-0.85
001382,新亚电缆,C 制造业,深圳主板,True,纯筑底股,2026-06-18,20.08,20.63,20.97,21.04,26.16,19.66,2.14,-23.24,-1.38,-3.51,44734509.0,2237850.0,109.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},False,3,False,False,False,1,{'stage2_core_count': 1},0,82.4,中报,2026-08-31,"[10.05, 4.0, 22.99]","[-14.56, -25.57, -14.98]","[3.42, 3.41, 3.46]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（-4.5%）; 成交量萎缩; 价格波动收窄,-0.51,0.57,10.52,-4.54
001316,润贝航科,F 批发零售,深圳主板,True,基础过渡态,2026-06-18,37.45,37.55,32.94,30.64,45.11,20.35,84.03,-16.98,-9.74,52.98,136890304.0,3682790.0,103.99,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': False, 'near_low': False, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': True, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 25.94, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [33.34, 25.94], 'vcp_vols': [3867494.93, 3795501.95], 'vcp_resistance': 44.21}",False,3,True,True,False,8,"{'stage2_core_count': 8, 'is_base_transition': np.True_, 'is_high_quality_transition': False, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': False, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,23.66,中报,2026-08-31,"[12.65, 33.81, 25.21]","[64.47, 114.44, 78.04]","[15.45, 14.97, 20.25]",SEPA Stage 1: MA200 走平; 成交量萎缩; Stage1末期→即将进入Stage2,4.21,0.84,30.73,22.23
