code,name,industry,board,is_stage2,date,close,ma50,ma150,ma200,52w_high,52w_low,pct_above_52w_low,pct_below_52w_high,return_20d_pct,return_120d_pct,amount_cny,volume,score,conditions,cup_handle_details,vcp_details,pullback_details,financial_pass,financial_score,market_cap_cny,pe_ttm,next_report_period,next_report_deadline,rev_growth,profit_growth,profit_margin,matched_reason
000811,冰轮环境,C 制造业,深圳主板,True,2026-06-18,40.17,28.2,20.68,18.94,40.17,8.55,369.82,0.0,14.15,143.01,170190288.0,4236751.0,110.0,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}",{'reason': '左杯沿到杯底距离过短，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 23.23, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [16.04, 23.44, 23.23], 'vcp_vols': [48782257.5, 29204886.69, 48818132.4], 'vcp_resistance': 38.06}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",True,10,0,63.28,中报,2026-08-31,"[-2.45, 6.28, 18.31]","[-3.74, -5.61, 16.84]","[10.09, 8.93, 7.58]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; acceleration: rev+profit up, margin improving"
000988,华工科技,C 制造业,深圳主板,True,2026-06-18,177.55,139.41,103.68,97.12,181.57,43.44,308.72,-2.21,15.51,144.93,13779668935.0,78077370.0,107.79,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}","{'cup_valid': False, 'cup_high': 84.21, 'cup_low': 73.8, 'cup_depth_pct': 12.36, 'cup_days': 85, 'right_rim_price': 171.66, 'handle_valid': False, 'handle_high': 177.55, 'handle_low': 142.83, 'handle_depth_pct': 19.56, 'handle_days': 18, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': False, 'near_rim': True}","{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 16.79, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [12.36, 25.61, 16.79], 'vcp_vols': [48707639.25, 110649610.47, 100010265.5], 'vcp_resistance': 171.66}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",True,10,0,122.74,中报,2026-08-31,"[22.62, 22.59, 27.13]","[39.8, 20.89, 58.38]","[11.9, 10.13, 15.1]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; acceleration: rev+profit up, margin improving"
000823,超声电子,C 制造业,深圳主板,True,2026-06-18,21.6,16.56,14.78,14.43,22.49,10.22,111.35,-3.96,41.83,67.57,2462427900.0,113824837.0,106.04,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_valid': True, 'cup_high': 16.42, 'cup_low': 12.51, 'cup_depth_pct': 23.81, 'cup_days': 71, 'right_rim_price': 19.1, 'handle_valid': False, 'handle_high': 22.11, 'handle_low': 18.26, 'handle_depth_pct': 17.41, 'handle_days': 5, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': False, 'near_rim': True}",{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",False,0,0,42.15,中报,2026-08-31,"[10.91, 9.98, 6.85]","[27.38, 6.57, -27.19]","[4.86, 4.35, 2.63]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation
000697,炼石航空,C 制造业,深圳主板,True,2026-06-18,11.5,11.09,9.65,9.28,13.28,6.54,75.84,-13.4,-1.96,30.24,404556689.0,34140100.0,104.6,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_valid': False, 'cup_high': 9.13, 'cup_low': 8.49, 'cup_depth_pct': 7.01, 'cup_days': 101, 'right_rim_price': 13.06, 'handle_valid': False, 'handle_high': 12.74, 'handle_low': 10.3, 'handle_depth_pct': 19.15, 'handle_days': 18, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': True, 'near_rim': True}",{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,8,0,19166.67,中报,2026-08-31,"[5.76, 7.08, 33.93]",,"[-12.97, -27.66, 0.13]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving"
000922,佳电股份,C 制造业,深圳主板,True,2026-06-18,13.8,12.61,11.92,11.48,14.63,8.55,61.4,-5.67,4.94,31.43,359007737.0,25878368.0,102.33,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': False}",{'reason': '杯底位置异常，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': False, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",True,8,0,29.08,中报,2026-08-31,"[2.01, 0.42, 5.56]","[-1.01, -0.86, 35.14]","[6.79, 6.7, 9.13]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; acceleration: rev+profit up, margin improving"
000725,京东方Ａ,C 制造业,深圳主板,True,2026-06-18,6.55,4.8,4.37,4.3,6.93,3.76,74.2,-5.48,40.86,59.37,26654280034.0,4003242676.0,97.52,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}","{'cup_valid': False, 'cup_high': 4.56, 'cup_low': 3.84, 'cup_depth_pct': 15.79, 'cup_days': 94, 'right_rim_price': 6.47, 'handle_valid': False, 'handle_high': 6.65, 'handle_low': 5.52, 'handle_depth_pct': 16.99, 'handle_days': 7, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': False, 'near_rim': True}",{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",False,3,0,48.74,中报,2026-08-31,"[7.53, 3.13, 0.8]","[127.36, 21.28, -11.77]","[2.85, 2.46, 3.35]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range
000960,锡业股份,C 制造业,深圳主板,True,2026-06-18,41.74,37.63,33.87,30.83,48.46,13.88,200.72,-13.87,15.02,66.76,4604593806.0,109481475.0,96.13,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 4, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': False, 'vcp_tight_range': 22.35, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [25.31, 37.93, 12.15, 22.35], 'vcp_vols': [79348343.0, 62456613.62, 71716188.11, 103143856.33], 'vcp_resistance': 43.75}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",True,10,0,32.56,中报,2026-08-31,"[17.81, 3.72, 59.86]","[36.94, 34.37, 74.64]","[5.36, 4.85, 5.7]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; acceleration: rev+profit up, margin improving"
001215,千味央厨,C 制造业,深圳主板,True,2026-06-18,42.2,41.8,40.56,39.47,49.8,27.26,54.81,-15.26,2.83,10.24,201139888.0,4881101.0,96.01,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}",{'reason': '柄部周期异常(29天)，标准1-4周'},{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",True,13,0,65.56,中报,2026-08-31,"[1.0, 1.64, 23.83]","[-33.84, -24.53, 5.47]","[3.88, 3.29, 3.86]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; acceleration: rev+profit up, margin improving"
000962,东方钽业,C 制造业,深圳主板,True,2026-06-18,63.01,52.71,42.81,38.4,68.9,15.4,309.16,-8.55,11.34,126.33,1804672781.0,28768954.0,91.45,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': False}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': False, 'vcp_tight_range': 23.62, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [31.2, 16.27, 23.62], 'vcp_vols': [22705000.48, 25028638.83, 27942660.6], 'vcp_resistance': 66.46}","{'ma10_pullback': False, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",False,0,0,122.21,中报,2026-08-31,"[33.9, 20.49, 41.08]","[33.11, 21.32, -3.87]","[17.39, 16.87, 11.39]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range
000969,安泰科技,C 制造业,深圳主板,True,2026-06-18,25.08,21.99,21.78,20.33,30.87,12.05,108.13,-18.76,14.05,30.62,1847086674.0,73608202.0,91.24,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': False}","{'cup_valid': False, 'cup_high': 29.03, 'cup_low': 19.05, 'cup_depth_pct': 34.38, 'cup_days': 86, 'right_rim_price': 25.31, 'handle_valid': False, 'handle_high': 25.14, 'handle_low': 20.63, 'handle_depth_pct': 17.94, 'handle_days': 15, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': False, 'near_rim': False}","{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': False, 'vcp_tight_range': 18.49, 'vcp_vol_dry_up': np.True_, 'vcp_breakout': False, 'vcp_ranges': [20.15, 27.79, 18.49], 'vcp_vols': [82432833.64, 40729516.19, 58216698.2], 'vcp_resistance': 25.31}","{'ma10_pullback': False, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",True,10,0,64.96,中报,2026-08-31,"[-0.6, 4.73, 34.83]","[-22.9, -6.62, 30.48]","[5.28, 5.11, 4.81]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; acceleration: rev+profit up, margin improving"
