code,name,industry,board,is_stage1,label,date,close,ma50,ma150,ma200,52w_high,52w_low,pct_above_52w_low,pct_below_52w_high,return_20d_pct,return_120d_pct,amount_cny,volume,score,conditions,cup_handle_details,vcp_details,financial_pass,financial_score,is_transition,is_base_transition,is_high_quality_transition,stage2_core_count,transition_details,market_cap_cny,next_report_period,next_report_deadline,rev_growth,profit_growth,profit_margin,matched_reason,ma200_change_pct,vol_contraction_ratio,range_pct,pct_off_ma200,scanned_at
002493,荣盛石化,C 制造业,深圳主板,True,纯筑底股,2026-06-12,11.34,12.06,11.92,11.34,16.24,7.96,42.46,-30.17,-12.23,21.28,948293911.0,85546809.0,128.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': False, 'vcp_tight_range': 22.27, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [29.53, 8.9, 22.27], 'vcp_vols': [90389966.12, 54503948.75, 54407099.96], 'vcp_resistance': 13.83}",True,10,False,False,False,6,{'stage2_core_count': 6},0,中报,2026-08-31,"[-7.09, -5.47, -19.13]","[45.64, 52.86, 307.03]","[1.15, 1.05, 8.27]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+0.0%）; 成交量萎缩; 价格波动收窄; 业绩加速,2.11,0.8,22.95,0.04,2026-06-14 22:33:00
002386,天原股份,C 制造业,深圳主板,True,纯筑底股,2026-06-12,5.81,6.23,5.97,5.79,7.44,4.48,29.69,-21.91,-10.06,7.79,164236307.0,28492161.0,128.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},True,10,False,False,False,6,{'stage2_core_count': 6},0,中报,2026-08-31,"[-14.89, -15.47, 16.38]","[309.35, 21.68, 1206.7]","[0.05, 0.26, 1.99]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+0.3%）; 成交量萎缩; 价格波动收窄; 业绩加速,1.22,0.57,21.73,0.3,2026-06-14 22:33:00
600724,XD宁波富,Unknown,上海主板,True,高质量过渡态,2026-06-12,6.64,7.03,6.29,5.96,8.55,4.22,57.35,-22.34,-19.22,20.73,69964543.0,10640500.0,128.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': False, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},True,8,True,True,True,8,"{'stage2_core_count': 8, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,中报,2026-08-31,"[-11.44, -13.12, -11.69]","[1.18, -33.56, 1.86]","[13.72, 9.1, 17.85]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 成交量萎缩; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,3.92,0.68,32.74,11.42,2026-06-14 22:33:00
002490,山东墨龙,C 制造业,深圳主板,True,高质量过渡态,2026-06-12,8.84,9.01,8.57,8.02,14.52,3.9,126.67,-39.12,-2.75,32.34,1005013263.0,116944205.0,127.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': False, 'near_low': False, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': False, 'vcp_tight_range': 28.76, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [21.27, 34.37, 28.76], 'vcp_vols': [61909283.25, 91983644.41, 50490554.15], 'vcp_resistance': 10.5}",True,13,True,True,True,7,"{'stage2_core_count': 7, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.True_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(2)}",0,中报,2026-08-31,"[18.87, 29.88, 128.53]","[-92.94, -91.94, 4.39]","[0.44, 0.28, 0.84]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 成交量萎缩; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,2.89,0.61,29.43,10.19,2026-06-14 22:33:00
002033,丽江股份,N 公共环保,深圳主板,True,纯筑底股,2026-06-12,8.73,8.99,8.91,8.85,11.17,8.03,8.72,-21.84,0.81,1.99,246497039.0,28736858.0,127.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},True,15,False,False,False,5,{'stage2_core_count': 5},0,中报,2026-08-31,"[3.79, 6.42, 23.56]","[0.47, 1.12, 96.35]","[33.07, 27.79, 37.48]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（-1.4%）; 成交量萎缩; 价格波动收窄; 业绩加速,0.16,0.73,8.24,-1.39,2026-06-14 22:33:00
603507,振江股份,Unknown,上海主板,True,高质量过渡态,2026-06-12,36.51,42.91,33.48,31.78,49.77,22.27,63.94,-26.64,-19.49,54.31,173146527.0,4738576.0,127.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': False, 'near_low': False, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},{'reason': '收缩次数不足（需≥2轮）'},True,13,True,True,True,7,"{'stage2_core_count': 7, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,中报,2026-08-31,"[-1.15, 0.65, 58.87]","[-73.66, -35.22, 1015.21]","[1.55, 2.92, 6.77]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 成交量萎缩; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,4.76,0.56,41.01,14.9,2026-06-14 22:33:00
000036,华联控股,K 房地产,深圳主板,True,纯筑底股,2026-06-12,5.14,5.26,5.33,5.07,7.81,3.38,52.07,-34.19,-9.98,6.42,164919137.0,32235230.0,127.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '柄部周期异常(24天)，标准1-4周'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': True, 'high_trend_ok': False, 'vcp_tight_range': 21.64, 'vcp_vol_dry_up': np.True_, 'vcp_breakout': False, 'vcp_ranges': [28.17, 35.48, 21.64], 'vcp_vols': [138923753.69, 60778596.75, 39220771.0], 'vcp_resistance': 6.33}",True,15,False,False,False,5,{'stage2_core_count': 5},0,中报,2026-08-31,"[-2.45, 46.13, 114.87]","[4.91, 95.24, 323.54]","[14.71, 15.9, 16.84]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+1.3%）; 成交量萎缩; 价格波动收窄; 业绩加速,3.12,0.39,17.96,1.32,2026-06-14 22:33:00
002830,名雕股份,E 建筑业,深圳主板,True,基础过渡态,2026-06-12,16.76,15.71,15.29,14.55,25.41,9.53,75.87,-34.04,1.76,12.63,101529796.0,6213517.0,127.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': True, 'near_low': False, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': True, 'vcp_vol_shrink': True, 'high_trend_ok': False, 'vcp_tight_range': 15.19, 'vcp_vol_dry_up': np.True_, 'vcp_breakout': False, 'vcp_ranges': [40.55, 15.19], 'vcp_vols': [6878480.48, 3420039.91], 'vcp_resistance': 17.12}",False,7,True,True,False,8,"{'stage2_core_count': 8, 'is_base_transition': np.True_, 'is_high_quality_transition': False, 'ma200_turning_up': True, 'volume_turning_up': np.True_, 'pattern_ready': False, 'financial_ready': False, 'rps_120_ready': False, 'tech_signal_count': np.int64(2)}",0,中报,2026-08-31,"[-2.09, 4.67, 0.07]","[-1.67, 6.39, 18.91]","[4.38, 6.85, 3.97]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 成交量萎缩; 价格波动收窄; Stage1末期→即将进入Stage2,3.04,0.72,22.18,15.17,2026-06-14 22:33:00
002648,卫星化学,C 制造业,深圳主板,True,高质量过渡态,2026-06-12,24.16,25.94,22.04,21.22,29.72,15.43,56.58,-18.71,-12.11,48.68,1887107371.0,79304092.0,127.35,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': False, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},True,8,True,True,True,8,"{'stage2_core_count': 8, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,中报,2026-08-31,"[7.73, 0.92, 2.82]","[1.82, -12.48, 35.05]","[10.8, 11.52, 16.7]",SEPA Stage 1: MA200 走平; 成交量萎缩; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,2.71,0.71,26.31,13.87,2026-06-14 22:33:00
000415,渤海租赁,L 商务服务,深圳主板,True,纯筑底股,2026-06-12,4.12,4.36,4.26,4.09,5.6,3.07,34.2,-26.43,-4.85,7.85,404187249.0,98480900.0,127.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': True, 'vcp_vol_shrink': True, 'high_trend_ok': False, 'vcp_tight_range': 23.28, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [27.64, 23.28], 'vcp_vols': [106396965.64, 79552504.44], 'vcp_resistance': 4.81}",True,8,False,False,False,6,{'stage2_core_count': 6},0,中报,2026-08-31,"[60.58, 37.71, -47.71]","[-112.67, -56.45, 34.92]","[-0.76, 1.95, 15.27]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+0.7%）; 成交量萎缩; 价格波动收窄; 业绩加速,1.27,0.79,23.76,0.69,2026-06-14 22:33:00
