code,name,industry,board,is_stage2,date,close,ma50,ma150,ma200,52w_high,52w_low,pct_above_52w_low,pct_below_52w_high,return_20d_pct,return_120d_pct,amount_cny,volume,score,conditions,cup_handle_details,vcp_details,pullback_details,financial_pass,financial_score,market_cap_cny,next_report_period,next_report_deadline,rev_growth,profit_growth,profit_margin,matched_reason,scanned_at
301566,达利凯普,C 制造业,创业板,True,2026-06-16,38.2,27.71,23.06,21.71,40.6,15.95,139.5,-5.91,31.63,97.52,2049934204.0,53325101.0,97.09,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': False}","{'cup_valid': True, 'cup_high': 26.84, 'cup_low': 18.86, 'cup_depth_pct': 29.73, 'cup_days': 65, 'right_rim_price': 38.6, 'handle_valid': False, 'handle_high': 38.2, 'handle_low': 30.53, 'handle_depth_pct': 20.08, 'handle_days': 8, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': True, 'near_rim': True}","{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 20.91, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [12.98, 29.73, 20.91], 'vcp_vols': [16587249.75, 13867094.81, 37026465.57], 'vcp_resistance': 38.6}","{'ma10_pullback': False, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",False,3,0,中报,2026-08-31,"[13.75, 12.07, 13.88]","[43.2, 39.88, 4.72]","[44.23, 43.92, 46.97]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range,2026-06-16 23:39:39
688019,安集科技,Unknown,科创板,True,2026-06-16,232.88,210.77,190.75,179.74,267.6,102.19,127.89,-12.97,-0.24,42.43,2372996598.0,10230788.0,97.03,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 4, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 23.44, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [14.58, 22.4, 8.91, 23.44], 'vcp_vols': [4178729.83, 2837758.89, 3173660.82, 6824582.3], 'vcp_resistance': 260.53}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",False,0,0,中报,2026-08-31,"[38.09, 36.47, 32.76]","[54.96, 46.85, 23.01]","[33.57, 31.29, 28.69]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation,2026-06-16 23:39:39
605058,澳弘电子,Unknown,上海主板,True,2026-06-16,40.69,37.36,33.17,32.26,41.97,22.44,81.33,-3.05,6.91,36.59,251151561.0,6204000.0,96.95,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': False}",{'reason': '杯底位置异常，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': False, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",False,0,0,中报,2026-08-31,"[6.69, 4.25, 6.14]","[6.45, 7.74, -9.62]","[10.63, 11.31, 9.22]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range,2026-06-16 23:39:39
603001,奥康国际,Unknown,上海主板,True,2026-06-16,11.02,9.5,9.23,9.14,11.73,5.91,86.46,-6.05,21.9,28.29,228172183.0,21013000.0,96.95,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}","{'cup_valid': True, 'cup_high': 10.44, 'cup_low': 8.23, 'cup_depth_pct': 21.17, 'cup_days': 79, 'right_rim_price': 10.83, 'handle_valid': False, 'handle_high': 11.02, 'handle_low': 9.58, 'handle_depth_pct': 13.07, 'handle_days': 9, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': False, 'near_rim': True}",{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",False,3,0,中报,2026-08-31,"[-21.65, -24.23, -27.63]",[-299.0],"[-14.32, -12.68, 5.95]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range,2026-06-16 23:39:39
003043,华亚智能,C 制造业,深圳主板,True,2026-06-16,83.28,61.39,53.76,52.83,85.92,37.63,121.31,-3.07,32.3,75.44,554156174.0,6654346.0,96.93,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}","{'cup_valid': False, 'cup_high': 55.25, 'cup_low': 44.85, 'cup_depth_pct': 18.82, 'cup_days': 69, 'right_rim_price': 73.29, 'handle_valid': False, 'handle_high': 85.1, 'handle_low': 80.62, 'handle_depth_pct': 5.26, 'handle_days': 5, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': False, 'near_rim': True}",{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",False,0,0,中报,2026-08-31,"[80.06, 59.82, -24.76]","[-1.81, 27.98, -75.58]","[8.78, 10.67, 3.12]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range,2026-06-16 23:39:39
300285,国瓷材料,C 制造业,创业板,True,2026-06-16,67.43,44.09,34.26,31.3,69.66,15.96,322.49,-3.2,53.91,141.25,9713245487.0,145043452.0,96.8,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': False}",{'reason': '杯底位置异常，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': False, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",False,0,0,中报,2026-08-31,"[10.71, 13.24, 9.15]","[2.14, 0.3, -0.45]","[16.8, 14.63, 13.94]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range,2026-06-16 23:39:39
300394,天孚通信,C 制造业,创业板,True,2026-06-16,324.71,269.02,201.61,181.09,374.36,42.18,669.82,-13.26,25.44,111.65,18459969584.0,57837929.0,96.74,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_valid': False, 'cup_high': 159.07, 'cup_low': 131.63, 'cup_depth_pct': 17.25, 'cup_days': 103, 'right_rim_price': 354.67, 'handle_valid': False, 'handle_high': 342.6, 'handle_low': 280.95, 'handle_depth_pct': 17.99, 'handle_days': 9, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': False, 'near_rim': True}","{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 4, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 20.79, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [17.25, 24.06, 18.92, 20.79], 'vcp_vols': [33748369.61, 37199924.23, 42347615.6, 43136644.38], 'vcp_resistance': 354.67}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",False,0,0,中报,2026-08-31,"[63.63, 58.79, 40.82]","[49.91, 50.25, 45.76]","[37.4, 39.08, 37.01]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation,2026-06-16 23:39:39
301362,民爆光电,C 制造业,创业板,True,2026-06-16,232.52,137.74,75.52,64.6,240.5,27.26,752.97,-3.32,63.19,685.54,1244361995.0,5332430.0,96.68,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}",{'reason': '左杯沿到杯底距离过短，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",False,0,0,中报,2026-08-31,"[-0.04, 1.76, -3.08]","[-19.92, -20.21, -65.24]","[12.02, 10.86, 5.32]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range,2026-06-16 23:39:39
300151,昌红科技,C 制造业,创业板,True,2026-06-16,22.95,19.86,16.95,16.12,25.88,11.51,99.39,-11.32,12.39,75.32,344094984.0,15144776.0,96.68,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}",{'reason': '杯底位置异常，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",True,8,0,中报,2026-08-31,"[-4.95, -4.34, -3.85]","[-49.66, -41.78, 2.85]","[4.62, 4.75, 5.3]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
688291,金橙子,Unknown,科创板,True,2026-06-16,49.58,46.6,42.63,40.84,57.28,21.78,127.64,-13.44,-7.53,40.49,106077283.0,2139614.0,96.56,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 18.07, 'vcp_vol_dry_up': np.True_, 'vcp_breakout': False, 'vcp_ranges': [17.39, 33.66, 18.07], 'vcp_vols': [3333515.0, 2408919.89, 3157015.25], 'vcp_resistance': 55.85}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",True,10,0,中报,2026-08-31,"[15.8, 19.46, -2.43]","[33.78, 21.34, 343.75]","[19.56, 14.16, 84.21]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; acceleration: rev+profit up, margin improving",2026-06-16 23:39:39
