code,name,industry,board,is_stage2,date,close,ma50,ma150,ma200,52w_high,52w_low,pct_above_52w_low,pct_below_52w_high,return_20d_pct,return_120d_pct,amount_cny,volume,score,conditions,cup_handle_details,vcp_details,pullback_details,financial_pass,financial_score,market_cap_cny,next_report_period,next_report_deadline,rev_growth,profit_growth,profit_margin,matched_reason
688268,华特气体,Unknown,科创板,True,2026-06-12,188.5,152.33,94.71,86.36,228.82,46.03,309.52,-17.62,-1.41,226.92,3791320619.0,18907664.0,87.38,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': False}","{'cup_high': 208.27, 'handle_low': 143.1, 'handle_depth_pct': 37.46, 'cup_depth_pct': 72.55, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': True}","{'vcp_contractions': 3, 'vcp_vol_declining': False, 'vcp_tight_range': 61.14, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(11.85), np.float64(15.14), np.float64(31.29)]}","{'ma10_pullback': False, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",False,5,0,中报,2026-08-31,"[-1.36, 1.7, 13.7]","[-12.21, -30.09, -25.37]","[11.15, 9.05, 8.53]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range
688253,英诺特,Unknown,科创板,True,2026-06-12,57.8,50.86,39.75,37.68,68.5,29.55,95.6,-15.62,-3.73,81.82,115661345.0,2001965.0,87.38,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}","{'cup_high': 60.04, 'handle_low': 54.56, 'handle_depth_pct': 17.22, 'cup_depth_pct': 49.73, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': False}","{'vcp_contractions': 4, 'vcp_vol_declining': False, 'vcp_tight_range': 29.25, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(6.0), np.float64(8.59), np.float64(12.58), np.float64(17.22)]}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",False,3,0,中报,2026-08-31,"[-36.56, -32.08, -47.43]","[-46.37, -41.48, -57.36]","[39.71, 34.23, 37.34]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range
002631,德尔未来,C 制造业,深圳主板,True,2026-06-12,7.76,7.52,6.45,6.11,9.2,4.36,77.98,-15.65,-4.32,36.14,205289925.0,26590504.0,87.35,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': False}","{'cup_high': 9.0, 'handle_low': 6.77, 'handle_depth_pct': 16.83, 'cup_depth_pct': 43.44, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': False}","{'vcp_contractions': 2, 'vcp_vol_declining': False, 'vcp_tight_range': 24.67, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(12.5), np.float64(21.89)]}","{'ma10_pullback': False, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",False,3,0,中报,2026-08-31,"[-26.35, -23.53, -24.28]","[-455.37, -4908.41]","[-8.43, -19.52, -9.83]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range
301279,金道科技,C 制造业,创业板,True,2026-06-12,23.82,23.34,23.14,21.86,29.0,14.32,66.34,-17.86,-12.43,-8.24,69668398.0,2894443.0,87.14,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': False}","{'cup_high': 27.2, 'handle_low': 21.09, 'handle_depth_pct': 24.79, 'cup_depth_pct': 29.01, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': False}",{'reason': '收缩次数不足（需≥2轮）'},"{'ma10_pullback': False, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",False,5,0,中报,2026-08-31,"[11.44, 11.91, 11.92]","[56.28, 51.04, 4.12]","[9.69, 9.28, 7.73]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range
002876,三利谱,C 制造业,深圳主板,True,2026-06-12,29.63,29.45,26.64,26.28,33.56,22.36,32.51,-11.71,0.17,23.2,267024239.0,8795608.0,87.13,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}","{'cup_high': 31.42, 'handle_low': 27.22, 'handle_depth_pct': 16.96, 'cup_depth_pct': 27.82, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': False}","{'vcp_contractions': 2, 'vcp_vol_declining': False, 'vcp_tight_range': 24.2, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(16.53), np.float64(13.37)]}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': False}",True,8,0,中报,2026-08-31,"[41.09, 42.41, 16.87]","[-31.31, -31.54, 13.09]","[1.69, 1.27, 3.54]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; acceleration: rev+profit up, margin improving"
301313,凡拓数创,I 信息技术,创业板,True,2026-06-12,59.3,40.83,33.48,31.63,70.5,22.1,168.33,-15.89,54.63,119.79,1974285165.0,32969054.0,87.11,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': False}","{'cup_high': 39.08, 'handle_low': 44.06, 'handle_depth_pct': 36.61, 'cup_depth_pct': 35.54, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': True}","{'vcp_contractions': 2, 'vcp_vol_declining': True, 'vcp_tight_range': 75.81, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(16.79), np.float64(12.41)]}","{'ma10_pullback': False, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",False,3,0,中报,2026-08-31,"[72.3, 72.81, 6.26]",[-2217.68],"[-23.3, -21.02, -20.32]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range
001316,润贝航科,F 批发零售,深圳主板,True,2026-06-12,37.9,37.22,32.59,30.4,45.11,20.35,86.24,-15.98,-9.44,45.49,205738897.0,5430956.0,87.02,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': False}","{'cup_high': 44.45, 'handle_low': 32.74, 'handle_depth_pct': 23.9, 'cup_depth_pct': 46.14, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': False}","{'vcp_contractions': 2, 'vcp_vol_declining': True, 'vcp_tight_range': 35.96, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(23.91), np.float64(19.61)]}","{'ma10_pullback': False, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",False,3,0,中报,2026-08-31,"[12.65, 33.81, 25.21]","[64.47, 114.44, 78.04]","[15.45, 14.97, 20.25]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range
002364,中恒电气,C 制造业,深圳主板,True,2026-06-12,46.51,44.83,33.98,32.22,59.97,13.9,234.6,-22.44,-2.8,81.96,2160610940.0,44784559.0,87.0,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}","{'cup_high': 48.74, 'handle_low': 46.51, 'handle_depth_pct': 21.37, 'cup_depth_pct': 52.4, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': False}","{'vcp_contractions': 2, 'vcp_vol_declining': True, 'vcp_tight_range': 28.94, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(15.54), np.float64(29.77)]}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': False}",False,7,0,中报,2026-08-31,"[20.29, 8.94, 7.79]","[-11.39, 16.47, 18.49]","[5.19, 6.16, 5.59]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range
300221,银禧科技,C 制造业,创业板,True,2026-06-12,15.33,12.17,10.86,10.38,18.27,7.77,97.3,-16.09,24.84,60.02,1079692511.0,68382065.0,86.91,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}","{'cup_high': 12.76, 'handle_low': 11.67, 'handle_depth_pct': 31.15, 'cup_depth_pct': 28.53, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': False}",{'reason': '收缩次数不足（需≥2轮）'},"{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",False,3,0,中报,2026-08-31,"[16.75, 8.67, 13.22]","[125.19, 125.31, 115.62]","[5.25, 5.19, 6.73]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range
000899,赣能股份,D 水电煤气,深圳主板,True,2026-06-12,13.27,13.26,11.92,11.41,16.15,8.34,59.11,-17.83,2.71,33.37,326464324.0,25141843.0,86.87,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}","{'cup_high': 16.15, 'handle_low': 12.71, 'handle_depth_pct': 15.32, 'cup_depth_pct': 39.63, 'volume_contracting': False, 'near_rim': False, 'volume_breakout': False}","{'vcp_contractions': 3, 'vcp_vol_declining': False, 'vcp_tight_range': 26.46, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(4.72), np.float64(24.21), np.float64(7.14)]}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': False}",False,5,0,中报,2026-08-31,"[1.24, 6.9, 52.44]","[36.94, 49.96, 35.98]","[16.87, 14.36, 11.37]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range
